,Assortativity,Average clustering coefficient,Average shortest path length,Average square clustering,Degree (min),Degree (max),Degree (avg),Degree (std),Degree (med),Density,Edge betweenness centrality (min),Edge betweenness centrality (max),Edge betweenness centrality (avg),Edge betweenness centrality (std),Edge betweenness centrality (med),Eccentricity (min),Eccentricity (max),Eccentricity (avg),Eccentricity (std),Eccentricity (med),Fraction of nodes in the barycenter,Fraction of nodes in the center,Fraction of nodes in the periphery,Global efficiency,Local efficiency (min),Local efficiency (max),Local efficiency (avg),Local efficiency (std),Local efficiency (med),Modularity,Node betweenness centrality (min),Node betweenness centrality (max),Node betweenness centrality (avg),Node betweenness centrality (std),Node betweenness centrality (med),Node strength (min),Node strength (max),Node strength (avg),Node strength (std),Node strength (med),Rich club coefficient (min),Rich club coefficient (max),Rich club coefficient (avg),Rich club coefficient (std),Rich club coefficient (med),Transitivity
signf_corr_before_Glut_Test2_Week_6_2022_08_25_14_23_52_FluoSZ9322_CS2A1S_stack_SZ_ts,0.6515380901810003,0.5888629931729511,0.3353814229304781,0.6279867954485372,0.0,0.7125126172031764,0.6215769398177611,0.7366134956388568,0.5214820119685109,0.622255719035736,0.0,0.21077034363357905,0.07744594100983038,0.1807938659212149,0.028270275855973793,0.37054455988283735,0.3696324697459805,0.3755068581131493,0.3527319392225819,0.3766307410907077,0.5578752707010244,0.5578752707010244,0.6180084723492373,0.9696951225379544,0.0,5.4065332535348275e-05,0.4417971139144211,0.0017636003256911179,0.9594605599220265,0.5541344619644357,0.0,0.23703396139058586,0.28062040793030707,0.3606680631266581,0.21078654087714144,1.0,0.32217919277807083,0.38471335947156426,0.39230849368780596,0.32509629306548266,0.631232678150815,1.0,0.44275769900457856,0.38188297766589463,0.28572648851592936,0.762116715408406
signf_corr_before_Glut_Test2_Week_2_2022_08_03_16_10_31_FluoSZ9322_CS2A2S_stack_SZ_ts,0.8265769745812465,0.17141051069838387,0.16442315989603648,0.15970024502621355,0.0,0.24320619577919317,0.1864856898449599,0.22250348397173084,0.12997544086184853,0.18653799110035044,0.0,0.01883715741883877,0.10034451293354953,0.08239268201557509,0.10275010161310437,0.17136106585887667,0.16307680425320073,0.17478728698273585,0.18076692231332953,0.17294429666544053,0.27269649546233904,0.27269649546233904,0.37161674443181114,0.6566277197411594,0.0,0.005785325327797905,0.03785785136755139,0.006175898028471505,0.0,0.49994456379631136,0.0,0.050083704716771385,0.16341349166519567,0.12777764435301603,0.2842101136886572,0.21226276880092365,0.16519488399090906,0.051655312784458195,0.1123142025544239,0.03410690561818686,0.2511360636133501,1.0,0.34326919882939005,0.6081460348267544,0.1834374354826428,0.2819159265581582
signf_corr_before_Glut_Test2_Week_2_2022_09_02_10_37_23_FluoSZ17228_CS3A1S1_stack_SZ_ts,0.6920715428529391,0.35305277693722614,0.009047564814397807,0.2604938447327375,0.0,0.4165232346556567,0.2596896519095806,0.2879969907404577,0.20050419815679874,0.2595266808541392,0.08800683441636417,0.0002009710854189231,0.017942871214539562,0.0096948318121583,0.018951472290373517,0.0035104160137996165,0.0,0.002900143133530486,0.01609531682004904,0.0035503707116307515,0.07582546056596795,0.07582546056596795,0.03275623551112214,0.8980889999414512,0.0,0.08413669052105237,0.30657899602824557,0.06811020962962225,0.39526087520021946,0.5353107959241101,0.0,0.06812590850166202,0.014885636406031022,0.07380043736569523,0.09518354074457581,0.14714088037393314,0.5080259381482075,0.3322503040259795,0.44196215091262603,0.2269393713504648,0.29756272563971214,1.0,0.35120899264791255,0.6021403269008523,0.2019040999134996,0.31174268778706227
signf_corr_before_Glut_Test2_Week_2_2022_09_01_13_28_02_FluoSZ17228_CS2A1S1_stack_SZ_ts,0.2283303267790376,0.7026514472915065,0.01566361366895469,0.6637403623879293,0.0,0.7412978982348024,0.41610119859927797,0.6521002628421051,0.2799594213896109,0.4157735336085907,0.07966074850234314,0.11221047941962858,0.0,0.03919671839890243,0.0,0.011339378709006642,0.0068548671702051145,0.009116562787085808,0.0,0.009323993655755286,0.05685164682371763,0.05685164682371763,0.18512886442169005,0.8567967616456635,0.0,0.0003439356706486363,0.46810240083684096,0.0010832820091407182,0.9912536670993491,0.5716686372491702,0.0,0.31561386488932436,0.004116467717102806,0.25530026867369054,0.006916821992599868,1.0,0.9999999999999999,0.7029748141764057,1.0,0.4561749403235196,0.45976514666552526,0.11347668724717919,0.3588040448136209,0.05691893305652512,0.33543053927506405,0.5771964458343118
signf_corr_before_Glut_Test2_Week_6_2022_09_30_10_53_21_FluoSZ17228_CS4A1S1_stack_SZ_ts,0.9615529293663241,0.07053808420527785,0.41057647516531226,0.024163379865430934,0.0,0.2825578988023754,0.0730951891871957,0.09384327697416481,0.05187199602925452,0.0732417342355568,0.339901412556648,0.07620328883832575,0.37233473877647894,0.24521524721102742,0.5736317326758624,0.3853600352199023,0.39867602846397676,0.4273816650732485,0.5237838094951335,0.433593795680862,0.45243146301373766,0.45243146301373766,0.1954482233870011,0.32046107427125103,0.0,0.012907463437576778,0.14142143807165486,0.012701482819607597,0.0,0.5063917295997815,0.0,0.13454217289489395,0.3941343689742848,0.2165752037047164,0.6806104749651911,0.9337765114042023,0.042991863201436664,0.02857200489677115,0.024065506313621338,0.01657872777543988,0.15642091997479518,1.0,0.7188667332194967,0.913237312097836,0.6751522204271455,0.1517870760648724
signf_corr_before_Glut_Test2_Week_2_2022_09_02_14_09_30_FluoSZ17228_CS4A1S1_stack_SZ_ts,0.6678538632991082,0.154228395580862,0.30700074188697024,0.022046594686976506,0.0,0.05280753676317407,0.043504850958228466,0.0,0.04302800658762422,0.043579549279811614,0.22220200970200968,0.025717934481425786,0.2924590151692169,0.1624036499852537,0.4996351516025728,0.2330613937089569,0.1718737617062812,0.21789599372458238,0.11292027365073819,0.21859580084678099,0.30567674256994654,0.30567674256994654,0.4001113617650466,0.26210635776417135,0.0,0.005215535773741478,0.06883246676198969,0.0075214924030463865,0.0,0.6776951900240049,0.0,0.07435724983774962,0.28609281371814155,0.13882018839537374,0.5885574406774677,0.7476259867626454,0.009707239894319902,0.0,0.0,0.002752211640622334,0.0,0.016393442622950838,0.04941651767828448,0.23241959813185598,0.017324377313978234,0.026600168670505298
signf_corr_before_Glut_Test2_Week_6_2022_08_25_11_53_52_FluoSZ9322_CS1A1S_stack_SZ_ts,0.6529009943375221,0.5815039293516561,0.1400351007425419,0.5815159926215793,0.0,0.6319438532769597,0.4793648070660842,0.6478790323581487,0.33417298579199006,0.4793541686241618,0.0,0.22373554669954993,0.029536457082602965,0.0830260439212217,0.010363110882233507,0.13952635576649608,0.1513361332340513,0.14807192453384607,0.2072649066388101,0.143373625533807,0.25367148801268086,0.25367148801268086,0.3551793203800393,0.8726123482728363,0.0,0.000246954078533518,0.46036493930440203,0.0012589738686430351,0.9892961895856367,0.5629418912442181,0.0,0.19166387589983908,0.12220983061421195,0.22820642378452033,0.1208653112609656,1.0,0.5151088404690813,0.4831432656123756,0.5957268585400056,0.29527193551903863,0.5091676386452357,1.0,0.4656008650895915,0.46807870581361366,0.28490239529236017,0.7218268515439538
signf_corr_before_Glut_Test2_Week_2_2022_08_05_10_38_47_FluoSZ9322_CS3A2S_stack_SZ_ts,0.6960330214242929,0.24741705194302588,0.16490582601668222,0.14503676831284895,0.0,0.21506157812283605,0.13981171505259865,0.1815131425221788,0.09067583480695092,0.13981669814296707,0.15119685475647351,0.009546042264331416,0.10003634605180094,0.0756459887466968,0.12005244257210171,0.13431394254364187,0.11516197082050719,0.12644419499292078,0.07093660730031522,0.12787844649061064,0.1971128340426747,0.1971128340426747,0.3063131855539466,0.5478872028323076,0.0,0.0130225146522062,0.17495462364192294,0.013021242398780102,0.0,0.5209743951234238,0.0,0.03479270608092626,0.155423216557075,0.06303089136166302,0.4527525355836422,0.6503979588507616,0.18223178904031437,0.11652596760985284,0.1638886809939819,0.06520403556049456,0.2048112175032961,1.0,0.49780027902134244,0.7655527190946031,0.31369055994976314,0.33055032680018315
signf_corr_before_Glut_Test2_Week_6_2022_09_27_12_01_06_FluoSZ17012_CS1A1S1_stack_SZ_ts,0.5408287410094893,0.27845631170663665,0.10451299640861525,0.18899811310176834,0.0,0.6163331399587442,0.1122960970713393,0.30870559186552515,0.03729148421422228,0.112252155366909,0.12742989145284284,0.003716926777694758,0.06562815375945252,0.046886545875811175,0.07372481750159858,0.07232965284464848,0.09095598079726977,0.08653422851351375,0.1184483895748971,0.08109887659644416,0.1551890965085675,0.1551890965085675,0.27009147822969104,0.29727968212397027,0.0,0.39852827451753786,0.7413687625681561,0.44908568054211,0.0,0.0,0.0,0.042436220475826125,0.10022640129938395,0.05997085315345958,0.3100120299592944,0.3456911574492534,0.3581664170481136,0.053206648358536994,0.17990335252430611,0.007243662933113525,0.22488077959776073,1.0,0.9656553290821737,0.770009982701276,0.8700530643268932,0.19211966276243153
signf_corr_before_Glut_Test2_Week_2_2022_09_02_15_50_25_FluoSZ17012_CS4A1S1_stack_SZ_ts,0.927474682294414,0.3268702595212696,0.19082428686982858,0.2219951497227588,0.0,0.28958572516502196,0.16225926739161484,0.19073754149018537,0.10927974374055041,0.16226365621553318,0.15985815868030237,0.029944284678893297,0.09577633622400189,0.08401856721480433,0.08755443900569308,0.19294410700628012,0.17775886032372287,0.17655787378694518,0.10599730827333544,0.17816765755038544,0.21155948895199933,0.21155948895199933,0.31879495690160753,0.4970448783234218,0.0,0.10260671264784839,0.214310512787858,0.12359456152696094,0.0,0.68639845325895,0.0,0.0486671245972355,0.17778594290201186,0.07387632012258284,0.49894539065909893,0.5249731934167103,0.27588565791504216,0.13516706134983755,0.2654213048026661,0.05264079944552957,0.23093743759488625,1.0,0.4865835411459705,0.8143873814151005,0.2718333464956872,0.42030936035931343
