,Assortativity,Average clustering coefficient,Average shortest path length,Average square clustering,Degree (min),Degree (max),Degree (avg),Degree (std),Degree (med),Density,Edge betweenness centrality (min),Edge betweenness centrality (max),Edge betweenness centrality (avg),Edge betweenness centrality (std),Edge betweenness centrality (med),Eccentricity (min),Eccentricity (max),Eccentricity (avg),Eccentricity (std),Eccentricity (med),Fraction of nodes in the barycenter,Fraction of nodes in the center,Fraction of nodes in the periphery,Global efficiency,Local efficiency (min),Local efficiency (max),Local efficiency (avg),Local efficiency (std),Local efficiency (med),Modularity,Node betweenness centrality (min),Node betweenness centrality (max),Node betweenness centrality (avg),Node betweenness centrality (std),Node betweenness centrality (med),Node strength (min),Node strength (max),Node strength (avg),Node strength (std),Node strength (med),Rich club coefficient (min),Rich club coefficient (max),Rich club coefficient (avg),Rich club coefficient (std),Rich club coefficient (med),Transitivity
signf_corr_before_Glut_Test2_Week_6_2022_08_25_14_23_52_FluoSZ9322_CS2A1S_stack_SZ_ts,0.2004639851704148,0.49678961104163544,0.005387486949487172,0.4023553401104233,0.0,0.30857142857142855,0.14017959183673467,0.09875429557978845,0.14285714285714285,0.14058125255832993,0.0,0.0453602236284749,0.00030507836677077333,0.001221887744069913,3.429884584383736e-05,0.009123193055820445,0.0163972494551393,0.011705027070615503,0.001169021421510447,0.011686808326394765,0.0029239766081871343,0.0029239766081871343,0.005847953216374269,0.4455514102491447,0.0,1.3053115030556999,0.8594366912768977,0.3197312459392061,0.9724268783393375,0.4905537912209938,0.0,0.07521131619803346,0.00476294957968782,0.009987203408261343,0.0010436432637571159,0.0,96.57931951659955,42.15015124455164,30.936547747311973,42.40259979246785,0.14724494520759376,1.0,0.4441535009990752,0.20715070250675427,0.41016464965146465,0.6972327438538928
signf_corr_before_Glut_Test2_Week_2_2022_08_03_16_10_31_FluoSZ9322_CS2A2S_stack_SZ_ts,0.313526599116811,0.31673188129870433,0.003741481036543994,0.19276584394662444,0.0,0.17234848484848486,0.05412075298438935,0.04548912969942053,0.041666666666666664,0.05422344891035593,0.0,0.009768749320536117,0.000373093711115335,0.0006907064184440336,0.0001164795228998742,0.005946889290501481,0.010088787781123688,0.007546346196502133,0.0007424409506210234,0.00746491132905122,0.001968503937007874,0.001968503937007874,0.003937007874015748,0.37712269414063315,0.0,1.7819070586717929,0.7823648331886928,0.33612867385462075,0.8897697042622325,0.4732908059546826,0.0,0.028813995369179314,0.003586203471648393,0.005143355366312836,0.0014071769924612733,0.0,83.31783069023031,22.80414110625434,20.344426128725946,16.912444699433358,0.05858143471711007,1.0,0.389284353114566,0.2702875544512873,0.3256960273902932,0.4741443189103231
signf_corr_before_Glut_Test2_Week_2_2022_09_02_10_37_23_FluoSZ17228_CS3A1S1_stack_SZ_ts,0.20168755395453786,0.39507874820545363,0.0022455068514300614,0.23787770923503423,0.0,0.22265625,0.06860012478298612,0.05227468614250721,0.059895833333333336,0.06868956431986092,3.4309319097253195e-06,0.006312914713894588,0.00012833713613127494,0.0002982747534121121,2.4016523368077238e-05,0.0032702385282148286,0.0051082235003137594,0.003985040372630969,0.0003339526878570316,0.003953810188420241,0.0013089005235602095,0.0013089005235602095,0.0013089005235602095,0.4299001000488048,0.0,1.3521730574945454,0.9394153388250146,0.22346139023380227,0.9788471017487488,0.48367943078334197,0.0,0.03329171009587104,0.002094998164136251,0.004020692657592704,0.00047127136630856925,0.0,142.1781433000161,41.95914222955846,33.23124327630971,34.99611315990109,0.06941118346565293,1.0,0.39366324836812683,0.26861171086949476,0.34094549598911045,0.4880010333060989
signf_corr_before_Glut_Test2_Week_2_2022_09_01_13_28_02_FluoSZ17228_CS2A1S1_stack_SZ_ts,-0.16364958990716688,0.5458694263013112,0.0023092069343721047,0.418357448379661,0.0,0.3169267707082833,0.09953753410127558,0.08999817089470875,0.08043217286914765,0.0996571705605319,3.105561128312469e-06,0.027083598600013043,7.504164817453876e-05,0.0004575294554758434,3.105561128312469e-06,0.003395084032151698,0.005317579495079337,0.004113837506727604,0.0002940262658927654,0.004073482567406347,0.0012453300124533001,0.0012453300124533001,0.0024906600249066002,0.42087464793662344,0.0,1.535332812093633,0.904647177453753,0.29619769618671754,1.0046496431475798,0.4962057545538651,0.0,0.09471327922391275,0.001986876751634858,0.007795676648452864,3.424646872207745e-05,0.0,231.5693057190414,73.20085597700425,67.02557337010398,58.5256037630125,0.10724744800514281,0.5493506493506494,0.3978520143032549,0.11647214883896807,0.4512094395280236,0.6113237394597121
signf_corr_before_Glut_Test2_Week_6_2022_09_30_10_53_21_FluoSZ17228_CS4A1S1_stack_SZ_ts,0.33909163634114514,0.2732230728222428,0.006111473602169019,0.1321040477557019,0.0,0.18377088305489261,0.03169268801157433,0.032159089217024615,0.021479713603818614,0.03176850783935321,1.3251000450534015e-05,0.020406540693822382,0.0011809829074673347,0.0015696420428900064,0.0006360480216256327,0.009359449831657748,0.017284275122590217,0.012779813980224436,0.0015933367193473739,0.012867506186835477,0.002570694087403599,0.002570694087403599,0.002570694087403599,0.30364506043457135,0.0,1.5483077071498181,0.6335026979742397,0.384053938853783,0.7448467195318769,0.4737818332542847,0.0,0.04977490076986601,0.005902618774332449,0.006990240636477588,0.003369828711473401,0.0,72.02191778936418,10.562360193089336,11.777164139571349,6.799037727900714,0.03648763853367434,1.0,0.5964310748283125,0.3554207752445441,0.7317460317460317,0.41368994030388234
signf_corr_before_Glut_Test2_Week_2_2022_09_02_14_09_30_FluoSZ17228_CS4A1S1_stack_SZ_ts,0.2157480488364028,0.30938113882134227,0.00512228252981365,0.13125916640012103,0.0,0.11708253358925144,0.025825133270213414,0.02242333335676154,0.019193857965451054,0.02587479698804075,8.698677800974252e-06,0.011090814196242171,0.0009434551674665577,0.0011213968532683687,0.0005567153792623522,0.006945270371323689,0.010379080663922511,0.008459934141836116,0.0005741196653023759,0.008430751358889904,0.0020833333333333333,0.0020833333333333333,0.004166666666666667,0.2899119051133231,0.0,1.7003249233349513,0.7073919546196383,0.3632049568206849,0.7928062443193417,0.5368736561561224,0.0,0.035097527100566905,0.0048220155891952965,0.005364425389753575,0.0029699251404163136,0.0,53.55353366946445,10.792342220470566,10.113775769237426,7.875760364847749,0.0,0.5,0.22760956289520598,0.16591001553617882,0.18827838827838828,0.3557973942026058
signf_corr_before_Glut_Test2_Week_6_2022_08_25_11_53_52_FluoSZ9322_CS1A1S_stack_SZ_ts,0.20166405468339585,0.4936154621736228,0.003506669984657179,0.3815565532521513,0.0,0.2851851851851852,0.11205075445816184,0.08956082375723891,0.09444444444444444,0.1122586408300694,0.0,0.04776444929116685,0.00016277342052627584,0.0006941253815427388,1.4540167211922937e-05,0.005439233221760653,0.009730213384363222,0.0069928343180365345,0.0008081724745922567,0.006851987243639721,0.0019047619047619048,0.0019047619047619048,0.0038095238095238095,0.424331540215194,0.0,1.4583748421402396,0.8913489230500675,0.3022752234502345,1.0026657119391582,0.4931248283735013,0.0,0.06395136689387416,0.0031725226981601687,0.0072321563962830186,0.0005984265759782816,0.0,135.00182027545338,51.758236636085115,43.01490576600369,38.73412864786061,0.11877135587059251,1.0,0.4567517918152188,0.23120291409887786,0.409484126984127,0.6785151522142954
signf_corr_before_Glut_Test2_Week_2_2022_08_05_10_38_47_FluoSZ9322_CS3A2S_stack_SZ_ts,0.43352907730957385,0.3495535951742002,0.003748034769377219,0.18619444527502949,0.0,0.16417910447761194,0.04487237664634264,0.04122892032138613,0.03150912106135987,0.04494691547798108,5.914674899894127e-06,0.008079445913255377,0.00037201180565049434,0.0006545813757465041,0.00013603752269756493,0.005365331624454107,0.008640256193749002,0.006533113210748403,0.0004665359521089606,0.006523588425412575,0.001718213058419244,0.001718213058419244,0.003436426116838488,0.3524277507670849,0.0,1.7182430992562356,0.7829286095906804,0.3024367333098106,0.8545523620998896,0.48433364715886534,0.0,0.02507567214671494,0.00350775913567428,0.003801919367344769,0.002231586444299365,0.0,91.44688113529827,22.48198341432627,22.760238183510072,14.224665506926677,0.04792170868676426,1.0,0.474394331357661,0.3140960797721465,0.4330805854346676,0.4966510415361091
signf_corr_before_Glut_Test2_Week_6_2022_09_27_12_01_06_FluoSZ17012_CS1A1S1_stack_SZ_ts,-0.002625001912352063,0.3629034210960125,0.0031646590590896427,0.20587859596371985,0.0,0.28065395095367845,0.03944642843884801,0.05442023291079557,0.017711171662125342,0.03950024348446718,4.967833279515139e-06,0.006964902257880225,0.00026997613978898394,0.0004990400612520467,8.445316575175737e-05,0.004367672841953232,0.007886129966898348,0.005717843354098681,0.0005878521306476736,0.005561191597955798,0.0015748031496062992,0.0015748031496062992,0.0031496062992125984,0.29857818701346345,0.0,1.7803707798997634,0.7545488864142913,0.4295977325983318,0.9147583288217451,0.31204953614524084,0.0,0.026916042479604906,0.0029518111931405287,0.0037330534976815818,0.0015349270660467156,0.0,179.34037773527177,23.293194231286318,34.425436489069725,8.911958655762067,0.052456976985278875,1.0,0.7325380614524473,0.31545436268037336,0.8926919518963923,0.4324273798274655
signf_corr_before_Glut_Test2_Week_2_2022_09_02_15_50_25_FluoSZ17012_CS4A1S1_stack_SZ_ts,0.4501429831282621,0.3837855715139984,0.003995674138040765,0.22064697287750218,0.0,0.1858108108108108,0.04932888970051132,0.04219796991410733,0.03631756756756757,0.0494123565189555,6.232043923445572e-06,0.011828419366699696,0.00035952491246004205,0.0006994831406455698,9.971270277512916e-05,0.006291065876013556,0.010537195660886612,0.007583030738209522,0.0005569656851358778,0.007573178188431161,0.001763668430335097,0.001763668430335097,0.003527336860670194,0.34224187022345276,0.0,1.5278679312781704,0.7931733108515857,0.2956909570735695,0.877429344510231,0.5208115621850128,0.0,0.028462428468682573,0.0037305014925745205,0.00402227093009229,0.002470371181087589,0.0,100.21824524980303,24.62903000222366,23.05882152277826,17.076966800678647,0.05386978767426353,1.0,0.4683239991911758,0.3278375121323243,0.39869192084492505,0.538438201565439
signf_corr_before_Glut_Test2_Week_2_2022_09_01_12_12_05_FluoSZ17012_CS1A1S1_stack_SZ_ts,0.26451611701997385,0.32235176903329715,0.0044474574525650975,0.148805586280323,0.0,0.10175438596491228,0.027263773468759616,0.02379737359307698,0.01929824561403509,0.027311688712114205,6.696533204759896e-06,0.013038150149667518,0.0007536994237166734,0.0009817697111757589,0.00040848852549035363,0.006194008004619937,0.009673115877801215,0.007636699717129317,0.0006069329171502288,0.007582890797042212,0.0018281535648994515,0.0018281535648994515,0.0018281535648994515,0.3122370219627162,0.0,1.5968061771908333,0.7345593484961762,0.3427547050667644,0.8308487683074934,0.5596349879781823,0.0,0.030352522095641363,0.004290155500258984,0.004667439389035681,0.0029640084685956247,0.0,54.63340791885588,12.389777053938792,11.74362368627941,8.205608740382683,0.02965894556388158,0.6666666666666666,0.249839304501079,0.16628347799538284,0.2259327973613688,0.3876906485903559
