,Assortativity,Average clustering coefficient,Average shortest path length,Average square clustering,Degree (min),Degree (max),Degree (avg),Degree (std),Degree (med),Density,Edge betweenness centrality (min),Edge betweenness centrality (max),Edge betweenness centrality (avg),Edge betweenness centrality (std),Edge betweenness centrality (med),Eccentricity (min),Eccentricity (max),Eccentricity (avg),Eccentricity (std),Eccentricity (med),Fraction of nodes in the barycenter,Fraction of nodes in the center,Fraction of nodes in the periphery,Global efficiency,Local efficiency (min),Local efficiency (max),Local efficiency (avg),Local efficiency (std),Local efficiency (med),Modularity,Node betweenness centrality (min),Node betweenness centrality (max),Node betweenness centrality (avg),Node betweenness centrality (std),Node betweenness centrality (med),Node strength (min),Node strength (max),Node strength (avg),Node strength (std),Node strength (med),Rich club coefficient (min),Rich club coefficient (max),Rich club coefficient (avg),Rich club coefficient (std),Rich club coefficient (med),Transitivity
signf_corr_before_Glut_Test2_Week_6_2022_08_25_14_23_52_FluoSZ9322_CS2A1S_stack_SZ_ts,0.6048113762165982,0.5888629931729511,0.3353497737794108,0.6279867954485372,0.0,0.7125126172031764,0.6215769398177611,0.7366464825560719,0.5214820119685109,0.622255719035736,0.0,0.21077034363357905,0.07744594100983038,0.18070221727628982,0.028270275855973793,0.3707143605682717,0.3696324697459805,0.37369047083266993,0.3527319392225819,0.37505117627938245,0.5578752707010244,0.5578752707010244,0.6180084723492373,0.9658889051934534,0.0,0.0738349968223404,0.8071084004678597,0.3831503556846967,0.8867333652064979,0.5530950165418738,0.0,0.23703396139058586,0.2805761486122331,0.3606680631266581,0.21078654087714144,0.0,0.3122253073901783,0.3660112728974866,0.38136677007907693,0.3201685540474064,0.631232678150815,1.0,0.4434005348085386,0.38188297766589463,0.28572648851592936,0.762116715408406
signf_corr_before_Glut_Test2_Week_2_2022_08_03_16_10_31_FluoSZ9322_CS2A2S_stack_SZ_ts,0.7267990410641525,0.17141051069838387,0.16438336970877226,0.15970024502621355,0.0,0.24320619577919317,0.1864856898449599,0.22260085879080727,0.12997544086184853,0.18653799110035044,0.0,0.01883715741883877,0.10034451293354953,0.08229002474316445,0.10275010161310437,0.1715845978994743,0.16307680425320073,0.17238709108773273,0.18076692231332953,0.17084860768604007,0.27269649546233904,0.27269649546233904,0.37161674443181114,0.6540503448965613,0.0,0.8940525827126233,0.6212273629496403,0.4424483300930053,0.6588697530866421,0.4996056971002698,0.0,0.050083704716771385,0.16336202127490815,0.12777764435301603,0.2842101136886572,0.0,0.24465795178332436,0.16169260739168487,0.19979804397629206,0.11142267844646851,0.2511360636133501,1.0,0.34376758820104936,0.6081460348267544,0.1834374354826428,0.2819159265581582
signf_corr_before_Glut_Test2_Week_2_2022_09_02_10_37_23_FluoSZ17228_CS3A1S1_stack_SZ_ts,0.6061315323101615,0.35305277693722614,0.009000375637922997,0.2604938447327375,0.0,0.4165232346556567,0.2596896519095806,0.28808616305541884,0.20050419815679874,0.2595266808541392,0.08800683441636417,0.0002009710854189231,0.017942871214539562,0.009584041471423388,0.018951472290373517,0.003779227121949641,0.0,0.0,0.01609531682004904,0.0010254518963589143,0.07582546056596795,0.07582546056596795,0.03275623551112214,0.8945638487377039,0.0,0.15448340111391845,1.0,0.03500993577505185,0.9044321955018604,0.5317948268160642,0.0,0.06812590850166202,0.014825027945020886,0.07380043736569523,0.09518354074457581,0.0,0.5445515553829456,0.36399397285659985,0.4207021326246493,0.2595148023695959,0.29756272563971214,1.0,0.35171890973270714,0.6021403269008523,0.2019040999134996,0.31174268778706227
signf_corr_before_Glut_Test2_Week_2_2022_09_01_13_28_02_FluoSZ17228_CS2A1S1_stack_SZ_ts,0.2119550357107309,0.7026514472915065,0.015616739548869968,0.6637403623879293,0.0,0.7412978982348024,0.41610119859927797,0.6521438343221877,0.2799594213896109,0.4157735336085907,0.07966074850234314,0.11221047941962858,0.0,0.03908922858024118,0.0,0.011606077891280486,0.0068548671702051145,0.006234500597654596,0.0,0.006813704711151697,0.05685164682371763,0.05685164682371763,0.18512886442169005,0.8534336894603021,0.0,0.46970004545571786,0.9161465407919103,0.29804604309626526,0.975562866864097,0.5706076116996861,0.0,0.31561386488932436,0.00405519669064372,0.25530026867369054,0.006916821992599868,0.0,1.0,0.6939465168365131,1.0000000000000002,0.4522042583757977,0.45976514666552526,0.11347668724717919,0.35932498908433697,0.05691893305652512,0.33543053927506405,0.5771964458343118
signf_corr_before_Glut_Test2_Week_6_2022_09_30_10_53_21_FluoSZ17228_CS4A1S1_stack_SZ_ts,0.754382157037536,0.07053808420527785,0.41054840680426463,0.024163379865430934,0.0,0.2825578988023754,0.0730951891871957,0.09395676538876285,0.05187199602925452,0.0732417342355568,0.339901412556648,0.07620328883832575,0.37233473877647894,0.24513080570488444,0.5736317326758624,0.3855258393112857,0.39867602846397676,0.4257161597372128,0.5237838094951335,0.43215857041674766,0.45243146301373766,0.45243146301373766,0.1954482233870011,0.3192032103604414,0.0,0.49202974822939716,0.26220334527029077,0.6157603368352444,0.2593560369626795,0.5011271440387792,0.0,0.13454217289489395,0.3940970935219794,0.2165752037047164,0.6806104749651911,0.0,0.1871052158974977,0.032403708972219336,0.05293918967177874,0.028601213222896566,0.15642091997479518,1.0,0.7199104491739072,0.913237312097836,0.6751522204271455,0.1517870760648724
signf_corr_before_Glut_Test2_Week_2_2022_09_02_14_09_30_FluoSZ17228_CS4A1S1_stack_SZ_ts,0.6213019487490816,0.1543682781900263,0.3078036722625884,0.022275658473076942,0.0,0.05280753676317407,0.043430348704247626,0.0,0.04302800658762422,0.043505055061662135,0.22312978427279054,0.025966621115156012,0.29236681255776603,0.16208422674031941,0.5017330626753597,0.23417539599877998,0.1725817585023973,0.21660984985596185,0.11291249706114444,0.217563867453729,0.3069694868238558,0.3069694868238558,0.4012282804074295,0.25661943519621655,0.0,0.7536503038637203,0.4404086205470086,0.54036421926026,0.39156755611562444,0.6966170096262407,0.0,0.0754021465796995,0.2864596358933188,0.1384066091536339,0.599841218500985,0.0,0.09300870127147884,0.03483261398100103,0.024425609645869317,0.037418790393710974,0.0,0.016393442622950838,0.05019394321557291,0.23408904074971582,0.017028657896979743,0.02717260396299459
signf_corr_before_Glut_Test2_Week_6_2022_08_25_11_53_52_FluoSZ9322_CS1A1S_stack_SZ_ts,0.6061061780298015,0.5815039293516561,0.13999414919537145,0.5815159926215793,0.0,0.6319438532769597,0.4793648070660842,0.6479231325114101,0.33417298579199006,0.4793541686241618,0.0,0.22373554669954993,0.029536457082602965,0.08292345750614229,0.010363110882233507,0.13975847547708556,0.1513361332340513,0.14559402491194703,0.2072649066388101,0.14120300698272933,0.25367148801268086,0.25367148801268086,0.3551793203800393,0.869187197235334,0.0,0.3372559225796845,0.8840739609027719,0.3200241885710833,0.9700937017686804,0.5610613691411013,0.0,0.19166387589983908,0.12215582519796545,0.22820642378452033,0.1208653112609656,0.0,0.5079881516732404,0.4674849706382803,0.5884123609283227,0.2901264370652672,0.5091676386452357,1.0,0.4662768666748993,0.46807870581361366,0.28490239529236017,0.7218268515439538
signf_corr_before_Glut_Test2_Week_2_2022_08_05_10_38_47_FluoSZ9322_CS3A2S_stack_SZ_ts,0.8562743961766309,0.24750558285083946,0.16506408909557735,0.1450177457994104,0.0,0.21506157812283605,0.13972828903870954,0.18148689714426186,0.09067583480695092,0.13973330293635453,0.15171732585718425,0.009727296370725676,0.09998027027124946,0.07559712255382695,0.1204753926337263,0.1351254149703491,0.11564806148221776,0.12334095586468188,0.0695428720525456,0.125319179819917,0.1979924789453365,0.1979924789453365,0.30707319031706126,0.541512275703375,0.0,0.78448735810086,0.6225870725132767,0.32060825624128353,0.5617850065540955,0.5338219147243526,0.0,0.03502075553168035,0.15554828446036198,0.06328189864584029,0.45071760015849144,0.0,0.2860755067320425,0.15829020921104553,0.24120956973910332,0.08941171700217715,0.20543828158760677,1.0,0.4983126876785807,0.7651423145512272,0.31347702247619436,0.33036194504643246
signf_corr_before_Glut_Test2_Week_6_2022_09_27_12_01_06_FluoSZ17012_CS1A1S1_stack_SZ_ts,0.3856907453931542,0.27845631170663665,0.10447035329806531,0.18899811310176834,0.0,0.6163331399587442,0.1122960970713393,0.3087921706045072,0.03729148421422228,0.112252155366909,0.12742989145284284,0.003716926777694758,0.06562815375945252,0.04677991635621098,0.07372481750159858,0.07257989940820933,0.09095598079726977,0.08387734167650515,0.1184483895748971,0.07877045911535882,0.1551890965085675,0.1551890965085675,0.27009147822969104,0.29611280909762505,0.0,0.8914086577938951,0.5541411764448336,0.7804602354932983,0.727756674489568,0.0,0.0,0.042436220475826125,0.10017104336827451,0.05997085315345958,0.3100120299592944,0.0,0.7338933360915635,0.16685763527876163,0.4411728322794719,0.04590450257332074,0.22488077959776073,1.0,0.9670573551140516,0.770009982701276,0.8700530643268932,0.19211966276243153
signf_corr_before_Glut_Test2_Week_2_2022_09_02_15_50_25_FluoSZ17012_CS4A1S1_stack_SZ_ts,0.8741997872858427,0.3268702595212696,0.190785753904804,0.2219951497227588,0.0,0.28958572516502196,0.16225926739161484,0.1908388947231044,0.10927974374055041,0.16226365621553318,0.15985815868030237,0.029944284678893297,0.09577633622400189,0.08391609183821831,0.08755443900569308,0.1931618168473271,0.17775886032372287,0.17416282778252443,0.10599730827333544,0.1760852041242831,0.21155948895199933,0.21155948895199933,0.31879495690160753,0.49509389311900165,0.0,0.4568530382831426,0.6472951273945007,0.29621352380615806,0.6248506981244377,0.6468486490519907,0.0,0.0486671245972355,0.1777353567665709,0.07387632012258284,0.49894539065909893,0.0,0.33076565321872475,0.18096577334452893,0.2463278452365553,0.11276999508517892,0.23093743759488625,1.0,0.48729000728437877,0.8143873814151005,0.2718333464956872,0.42030936035931343
